"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"50% compaign"
"01/22/2022 17:06:08:429 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","C-capacity","collection-changing-ratio","R-capacity","[step]","count turtles"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","9","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","6","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","5","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","8","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","7","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","7","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","6","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","9","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","8","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","8","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","7","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","9","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","8","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","9","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","9","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","10","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","11","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","12","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","13","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","14","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","24","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","24","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","24","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","15","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","25","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","25","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","26","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","25","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","16","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","26","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","27","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","26","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","17","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","27","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","24","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","27","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","28","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","25","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","28","107"
"1","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","26","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","28","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","29","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","21","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","18","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","24","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","30","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","29","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","29","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","19","107"
"6","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","22","107"
"3","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","25","107"
"4","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","30","107"
"5","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","30","107"
"2","0.4","5","true","0.25","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","31","107"
"7","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","20","107"
"8","0.4","5","true","0.5","yes-policy","100","0.3","0.25","1000","0.5","1","0.3","10000000","2","10000","2","10000","23","107"
